職缺名稱,公司名稱,地區,網址
Python Automation Engineer,新加坡商優思特股份有限公司台灣分公司,台北市中正區,https://www.104.com.tw/job/14520697
Python 軟體工程師,核桃運算股份有限公司,台北市中正區,https://www.104.com.tw/job/13892468
(2025 Summer intern) AI Engineer,IBM_台灣國際商業機器股份有限公司,台北市信義區,https://www.104.com.tw/job/14580254
⾃動化設備-FAE⼯程師(桃園),易捷系統股份有限公司,桃園市中壢區,https://www.104.com.tw/job/13786288
R0007456: (Sr.) Software Engineer (G1- Python/Go),Trend Micro_趨勢科技股份有限公司,台北市大安區,https://www.104.com.tw/job/14401974
(E70-) Python/JAVA/後端高級工程師/技術副理(Agile PLM),新漢股份有限公司,新北市中和區,https://www.104.com.tw/job/14422798
【美商電腦領導品牌_Embedded System Engineer】韌體工程師 | 會 Python 加分/英文簡單溝通即可 | KA_828,藝珂人事顧問股份有限公司,台北市南港區,https://www.104.com.tw/job/14561177
G250013-2025 Summer Internship - Python 軟體工程師,創意電子股份有限公司,新竹市,https://www.104.com.tw/job/14580859
後端工程師 Backend Engineer (Python Developer),紐奧谷科技股份有限公司,台北市內湖區,https://www.104.com.tw/job/12792106
I138 Java/Python 全端工程師(可遠端工作),台灣大哥大股份有限公司,台北市大安區,https://www.104.com.tw/job/14548613
Python 爬蟲工程師,達暉資訊有限公司,台北市大安區,https://www.104.com.tw/job/13452008
"R0007528: Backend Engineer (V1FS) (Python/Go, AWS)",Trend Micro_趨勢科技股份有限公司,台北市大安區,https://www.104.com.tw/job/14355226
【 MARX 】資深Python後端工程師（Senior Backend Engineer）,火星生技股份有限公司,新北市中和區,https://www.104.com.tw/job/13740806
【南科/外商/半導體設備商】Data Analyst/生產管理數據分析 #Tableau#Python  (HCS_1167),藝珂人事顧問股份有限公司,台南市新市區,https://www.104.com.tw/job/14561243
Python 後端工程師 Backend Engineer,普匯金融科技股份有限公司,台北市中山區,https://www.104.com.tw/job/12853252
I105 Python Web工程師(可遠端工作),台灣大哥大股份有限公司,台北市大安區,https://www.104.com.tw/job/14277849
I112 Java/PHP/Python系統開發工程師(可遠端工作),台灣大哥大股份有限公司,台北市大安區,https://www.104.com.tw/job/13974894
自動化Python後端工程師 Backend Engineer,源速科技有限公司,台北市內湖區,https://www.104.com.tw/job/13281399
"R0006780: Cloud Engineer (Golang/Python, Backend Focus) 雲端開發工程師",Trend Micro_趨勢科技股份有限公司,台北市大安區,https://www.104.com.tw/job/14328296
"【台北內科】Backend Engineer, AI &amp; Legal Automation (Python/PHP) AI法律自動化後端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台北市內湖區,https://www.104.com.tw/job/14471164
Python工程師,翰霖科技資訊股份有限公司,台北市內湖區,https://www.104.com.tw/job/14559041
(板橋) Python Programmer,HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市板橋區,https://www.104.com.tw/job/14571426
Carrier Lab 自動化測試程式開發 (Python) | 工作地點: 新北市,Tezerakt_美商立方體有限公司台灣分公司,新北市板橋區,https://www.104.com.tw/job/14571163
【北士科】Python 推薦系統工程師 (月薪7-10萬),沛思坦網路股份有限公司,台北市北投區,https://www.104.com.tw/job/14579790
⾃動化設備-FAE⼯程師(新竹),易捷系統股份有限公司,新竹縣竹北市,https://www.104.com.tw/job/13569069
全端工程師（ Web Developer),牛蛙股份有限公司,台北市中山區,https://www.104.com.tw/job/14576750
AI  python工程師 (高雄),光子網絡科技有限公司,高雄市前鎮區,https://www.104.com.tw/job/14570037
MyGo Proptech/Fintech 資深Python工程師/資料科學家,MyGo商學苑_平安房屋仲介股份有限公司,台北市中山區,https://www.104.com.tw/job/11689827
"軟體工程師(C#, Python, Labview)",博隆精密科技股份有限公司,新竹縣新埔鎮,https://www.104.com.tw/job/14432011
"【台中】Backend Engineer, AI &amp; Legal Automation (Python/PHP) AI法律自動化後端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台中市西屯區,https://www.104.com.tw/job/14559115
Google 專案 | 自動化測試整合工程師 SW Engineer | Java/Python/C++ (板橋),HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市板橋區,https://www.104.com.tw/job/14570240
P7-Python資料工程師,意藍資訊股份有限公司,台北市大安區,https://www.104.com.tw/job/12354332
Python 工程師(資訊部),iRent_和雲行動服務股份有限公司,台北市中山區,https://www.104.com.tw/job/14579417
網站開發全端工程師 (Python),台灣智園有限公司,新北市永和區,https://www.104.com.tw/job/6880313
【高雄區】AI產品工程師(Python),支點雲端科技股份有限公司,高雄市三民區,https://www.104.com.tw/job/14457738
Software Engineer(C++/Python)軟體工程師,Gorilla Technology Group_大猩猩科技股份有限公司,台北市內湖區,https://www.104.com.tw/job/14294007
Python programmer/data scientist for quantitative trading,中塑油品股份有限公司,台北市內湖區,https://www.104.com.tw/job/11774964
Google Project Python Programmer ___ Banqiao,HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市板橋區,https://www.104.com.tw/job/14571211
Sr. PYTHON DEVELOPER 後端工程師(全遠端),美商網碩科技股份有限公司台灣分公司,台北市松山區,https://www.104.com.tw/job/12108067
Google 專案 | 自動化整合工程師 Python Programmer (板橋),HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市板橋區,https://www.104.com.tw/job/14570478
"【台中】Full Stack Developer, AI LegalTech Platform (Python/PHP) AI法律科技平台全端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台中市西屯區,https://www.104.com.tw/job/14559108
(SLT) 自動化整合工程師/Python  | 工作地點: 新北市,Tezerakt_美商立方體有限公司台灣分公司,新北市板橋區,https://www.104.com.tw/job/14461946
"【台中】Software Engineer, Legal Automation &amp; AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台中市西屯區,https://www.104.com.tw/job/14559112
Python 程式設計講師 (台中地區),聯成電腦股份有限公司(聯成電腦/聯成外語),台中市北區,https://www.104.com.tw/job/9836691
"【新竹】Backend Engineer, AI &amp; Legal Automation (Python/PHP) AI法律自動化後端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,新竹市,https://www.104.com.tw/job/14559114
軟體開發工程師 Python 自動控制,進懋有限公司,新北市永和區,https://www.104.com.tw/job/13990947
【台中】Reputation &amp; Platform Compliance Analyst 數位聲譽管理與平台策略分析專員,沛思坦網路股份有限公司,台中市西屯區,https://www.104.com.tw/job/14570675
Foundry R&amp;D Engineer,安矽思科技股份有限公司,新竹縣竹北市,https://www.104.com.tw/job/14509047
"【北士科】Backend Engineer, AI &amp; Legal Automation (Python/PHP) AI法律自動化後端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台北市北投區,https://www.104.com.tw/job/14559113
Python 程式設計語言講師 - 桃園分校,聯成電腦股份有限公司(聯成電腦/聯成外語),桃園市桃園區,https://www.104.com.tw/job/9960200
資深Python程式課程講師-台中站前認證中心,聯成電腦股份有限公司(聯成電腦/聯成外語),台中市中區,https://www.104.com.tw/job/10828558
Python 工程師  – 資料科學/AI 應用方向,鷹翔有限公司,台北市松山區,https://www.104.com.tw/job/14538573
Python程式講師-新竹分校,聯成電腦股份有限公司(聯成電腦/聯成外語),新竹市,https://www.104.com.tw/job/9990560
"【新竹】Software Engineer, Legal Automation &amp; AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師 (月薪7-10萬)",沛思坦網路股份有限公司,新竹市,https://www.104.com.tw/job/14559111
"【新竹】Full Stack Developer, AI LegalTech Platform (Python/PHP) AI法律科技平台全端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,新竹市,https://www.104.com.tw/job/14559106
Python 開發工程師(IoT/AI 應用)課程講師-新北地區認證中心,聯成電腦股份有限公司(聯成電腦/聯成外語),新北市板橋區,https://www.104.com.tw/job/14303671
Python AI程式設計兼任講師_台中站前認證中心,聯成電腦股份有限公司(聯成電腦/聯成外語),台中市中區,https://www.104.com.tw/job/12231396
Python程式分析講師-桃園分校,聯成電腦股份有限公司(聯成電腦/聯成外語),桃園市桃園區,https://www.104.com.tw/job/10028148
"【台北內科】Software Engineer, Legal Automation &amp; AI Integration (Python/PHP) 法律自動化與AI整合軟體工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台北市內湖區,https://www.104.com.tw/job/14559099
Python 程式設計語言講師(台南地區),聯成電腦股份有限公司(聯成電腦/聯成外語),台南市中西區,https://www.104.com.tw/job/9836697
"【台北內科】Full Stack Developer, AI LegalTech Platform (Python/PHP) AI法律科技平台全端工程師 (月薪7-10萬)",沛思坦網路股份有限公司,台北市內湖區,https://www.104.com.tw/job/14145901
"LLT_AI服務後端工程師(Backend Engineer, Python/Django/Flask/FastAPI)",緯穎科技服務股份有限公司,新北市汐止區,https://www.104.com.tw/job/14026203
Python 後端開發工程師,安碁資訊股份有限公司,台北市南港區,https://www.104.com.tw/job/11951239
Python課程講師-永和認證中心,聯成電腦股份有限公司(聯成電腦/聯成外語),新北市永和區,https://www.104.com.tw/job/13453637
(板橋) Automated Testing Integration Engineer (Java/Python/C++),HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市板橋區,https://www.104.com.tw/job/14571411
Python 程式設計語言講師 - 基隆、大台北地區,聯成電腦股份有限公司(聯成電腦/聯成外語),台北市中正區,https://www.104.com.tw/job/9607651
Python 程式設計語言講師(高雄地區),聯成電腦股份有限公司(聯成電腦/聯成外語),高雄市新興區,https://www.104.com.tw/job/9836702
Python講師,伽碩職業訓練中心_伽碩企業有限公司,台南市永康區,https://www.104.com.tw/job/12504521
